No,관리분류군,정이명여부,학명,대표국명,명명자,명명년도,Phylum,,Class,,Order,,Family,,Genus,,SubGenus,,Species,,콘텐츠 여부,URL
69,조류,정명,"Butorides striata (Linnaeus, 1758)",검은댕기해오라기,,,Chordata,척삭동물문,Aves,조강,Ciconiiformes,황새목,Ardeidae,백로과,Butorides,검은댕기해오라기속,,,striata,검은댕기해오라기,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001535
70,조류,정명,"Ardeola bacchus (Bonaparte, 1855)",흰날개해오라기,,,Chordata,척삭동물문,Aves,조강,Ciconiiformes,황새목,Ardeidae,백로과,Ardeola,흰날개해오라기속,,,bacchus,흰날개해오라기,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001537
71,조류,정명,"Bubulcus ibis (Linnaeus, 1758)",황로,,,Chordata,척삭동물문,Aves,조강,Ciconiiformes,황새목,Ardeidae,백로과,Bubulcus,황로속,,,ibis,황로,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001539
72,조류,정명,"Ardea cinerea Linnaeus, 1758",왜가리,Linnaeus,1758,Chordata,척삭동물문,Aves,조강,Ciconiiformes,황새목,Ardeidae,백로과,Ardea,왜가리속,,,cinerea,왜가리,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001541
73,조류,정명,"Ardea purpurea Linnaeus, 1766",붉은왜가리,Linnaeus,1766,Chordata,척삭동물문,Aves,조강,Ciconiiformes,황새목,Ardeidae,백로과,Ardea,왜가리속,,,purpurea,붉은왜가리,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001542
74,조류,정명,"Ardea alba Linnaeus, 1758",중대백로,Linnaeus,1758,Chordata,척삭동물문,Aves,조강,Ciconiiformes,황새목,Ardeidae,백로과,Ardea,왜가리속,,,alba,중대백로,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001543
75,조류,정명,"Egretta garzetta (Linnaeus, 1766)",쇠백로,,,Chordata,척삭동물문,Aves,조강,Ciconiiformes,황새목,Ardeidae,백로과,Egretta,백로속,,,garzetta,쇠백로,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001546
76,조류,정명,"Egretta sacra (Gmelin, 1789)",흑로,,,Chordata,척삭동물문,Aves,조강,Ciconiiformes,황새목,Ardeidae,백로과,Egretta,백로속,,,sacra,흑로,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001547
77,조류,정명,"Egretta eulophotes (Swinhoe, 1860)",노랑부리백로,,,Chordata,척삭동물문,Aves,조강,Ciconiiformes,황새목,Ardeidae,백로과,Egretta,백로속,,,eulophotes,노랑부리백로,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001548
78,조류,정명,"Fregata minor (Gmelin, 1789)",큰군함조,,,Chordata,척삭동물문,Aves,조강,Pelecaniformes,사다새목,Fregatidae,군함조과,Fregata,군함조속,,,minor,큰군함조,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001552
